,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,days_from_last_review
47400,35715171,Host yr PARTY in style -Manhattan ROOF TOP for 25,71276635,Joe,Manhattan,Washington Heights,40.83571,-73.94179,Entire home/apt,750,1,1,2019-07-07,1.0,5,364,1
7703,5823579,Amazing location!!!!!!!  Upper East Side Manhattan,30224269,Todd,Manhattan,Upper East Side,40.77907,-73.95211,Entire home/apt,140,2,135,2019-06-16,2.68,1,228,22
35423,28101926,Resort style living. Ferry to city 5 min walk.,67048974,Jonathan,Bronx,Clason Point,40.80644,-73.8518,Private room,48,2,33,2019-06-22,3.21,1,47,16
14466,11371099,Charming 1 Bedroom Brooklyn Apt,59595517,Lisa,Brooklyn,Bedford-Stuyvesant,40.68164,-73.93497,Entire home/apt,83,4,106,2019-06-16,2.64,1,201,22
30937,23965460,Cleo's Royale,157141199,Adeola,Manhattan,Inwood,40.86058,-73.9274,Private room,70,5,5,2019-05-24,0.41,2,90,45
11338,8809578,Beautiful Quiet Chelsea Apartment,14914020,Cihan,Manhattan,Chelsea,40.7442,-74.00123,Entire home/apt,250,1,1,2015-12-16,0.02,1,0,1300
4138,2668311,Quaint Studio Apt. $1300 monthly for one person,197156,Sofia,Brooklyn,Bay Ridge,40.63465,-74.02366,Entire home/apt,53,20,16,2019-06-02,0.27,1,220,36
28924,22291736,Perfect location -  Clean and spacious!,37172480,Ken,Manhattan,Hell's Kitchen,40.76565,-73.98708,Entire home/apt,225,1,41,2019-07-07,2.2,1,11,1
18639,14744425,An Apartment for Families near by Tom's Restaurant,11158576,Mustafa,Manhattan,Morningside Heights,40.80429,-73.96499,Entire home/apt,175,2,2,2016-09-10,0.06,1,0,1031
26510,21098848,Sunny 1 bedroom suite in midtown Manhattan,120762452,Stanley,Manhattan,Murray Hill,40.74877,-73.97565,Entire home/apt,175,30,1,2019-02-01,0.19,50,364,157
23199,18787858,Fabulous studio in midtown Manhattan,120762452,Stanley,Manhattan,Murray Hill,40.74814,-73.97693,Entire home/apt,150,30,1,2019-05-16,0.56,50,180,53
10494,8052159,"Great Studio- East Village, NYC",42524168,Peter,Manhattan,East Village,40.72351,-73.98288,Entire home/apt,110,4,6,2016-06-06,0.13,1,0,1127
24495,19709550,Artist 1.5 bedroom WHOLE apartment in central NY!,38204730,Kathy,Manhattan,Gramercy,40.73564,-73.98229,Entire home/apt,239,5,2,2018-01-02,0.08,3,266,552
36321,28901091,peaceful third floor Fort Greene treetop retreat,171212377,Lali,Brooklyn,Fort Greene,40.68832,-73.97731,Entire home/apt,175,3,38,2019-07-06,4.15,1,122,2
24059,19387782,Bright and Sunny Lower East Side Studio!,5180117,Elise,Manhattan,Lower East Side,40.72034,-73.98617,Entire home/apt,140,2,20,2019-06-16,0.97,1,37,22
44130,34059500,Big room prime location WaHe uptown manhattan,290845,Majsan,Manhattan,Washington Heights,40.84387,-73.93969,Private room,59,1,3,2019-06-11,1.64,1,293,27
35595,28258594,Cozy Private Bedroom 5mins to NYC,19528144,Nma,Queens,Long Island City,40.76245,-73.93286,Private room,66,3,9,2019-04-11,0.94,1,0,88
26918,21322522,Artsy 1bdrm with Piano in the heart of Brooklyn!,1892493,Whitney,Brooklyn,Crown Heights,40.66952,-73.92345,Entire home/apt,85,1,1,2018-06-04,0.08,2,99,399
1048,436619,"Tranquil, Artsy, Sunny Bedroom",2168468,Cp,Manhattan,East Village,40.72507,-73.98861,Private room,110,2,64,2019-06-09,0.76,1,74,29
41267,32116711,Sunny furnished room in the heart of Bushwick,42519995,Lamia,Brooklyn,Bushwick,40.70709,-73.92071,Private room,70,1,3,2019-06-09,0.58,1,319,29
46974,35518805,FLATBUSH PLACE TO STAY AND GO attractions nearby,267223765,Jarmel,Brooklyn,Flatbush,40.64685,-73.96102,Private room,50,1,3,2019-06-26,3.0,3,348,12
21733,17475107,Partitioned (shared) Cozy Studio in Pelham Bay,86108833,Jonathan,Bronx,Schuylerville,40.84034,-73.83007,Shared room,20,1,116,2019-01-28,4.09,1,5,161
6093,4456555,Entire flr-thru 2bdrm apartment near ProspectPark!,747671,Sarah Jazmine,Brooklyn,South Slope,40.66347,-73.98438,Entire home/apt,180,1,7,2017-01-01,0.12,1,0,918
30438,23545346,Cuarto para 3,168429942,Jennifer,Bronx,Norwood,40.87993,-73.87195,Private room,50,3,18,2019-07-02,1.16,2,326,6
612,230956,Wonderfully inviting East Village,1207399,Mark,Manhattan,East Village,40.72709,-73.98274,Private room,90,1,109,2015-10-02,1.15,1,333,1375
12756,9757351,Two Bedroom next to Central Park,7952263,Anne,Manhattan,Upper East Side,40.78389,-73.95306,Entire home/apt,200,4,1,2016-08-27,0.03,1,0,1045
15484,12417189,Largest room in Astoria! Close to all mass transit,13168457,Rob,Queens,Astoria,40.76555,-73.91458,Private room,70,2,18,2016-11-15,0.46,1,89,965
5520,4000621,Hancock House cozy Garden Level,1542375,Nicci & David,Brooklyn,Bedford-Stuyvesant,40.6835,-73.92754,Entire home/apt,145,3,122,2019-06-10,2.14,1,269,28
20824,16491507,Extra Cozy Room in Center of Williamsburg,4033160,Brian,Brooklyn,Williamsburg,40.71404,-73.95783,Private room,98,1,3,2017-01-01,0.1,1,0,918
7026,5050664,"Simple, sweet in NOLITA-NYC",93292,Alexa,Manhattan,Chinatown,40.71848,-73.99549,Private room,80,3,153,2019-06-25,2.9,1,238,13
11981,9333533,Private Room in Williamsburg,48442001,Carlos,Brooklyn,Williamsburg,40.70723,-73.94811,Private room,50,7,4,2016-03-20,0.09,1,0,1205
39390,30714036,Warm & Welcoming Home for You - Crown Heights,4509281,Kelly,Brooklyn,Crown Heights,40.67548,-73.93992,Private room,500,3,32,2019-07-02,4.62,1,0,6
23966,19328148,Peaceful room:an AlmostEmpty Apartment of your own,7014073,Alex,Brooklyn,Williamsburg,40.71142,-73.96567,Private room,90,1,7,2018-10-13,0.71,1,0,268
20861,16519911,Fabulous Art-Filled West Village Home (1BR),13584145,Monika,Manhattan,West Village,40.73308,-74.00203,Entire home/apt,275,2,4,2018-07-17,0.15,1,0,356
36352,28917505,Small room for 1 Person-Best Value,35927005,Kathy,Brooklyn,Borough Park,40.63448,-74.00563,Private room,50,1,2,2019-06-20,0.24,10,365,18
16914,13466168,Like living in an art gallery.,12176919,Panya,Manhattan,Financial District,40.70711,-74.01437,Entire home/apt,234,2,4,2016-12-29,0.11,1,0,921
22741,18404936,Location! Location!,63417081,Devon,Manhattan,Harlem,40.82359,-73.94433,Private room,37,30,4,2018-07-15,0.18,8,291,358
11275,8741446,"Clean, inviting apt.15min to NYC",24597265,Freda,Queens,Ditmars Steinway,40.77058,-73.91091,Entire home/apt,187,6,57,2019-06-09,1.33,8,275,29
5064,3635624,Cozy 1BD in the lower east side,6050632,Yana,Manhattan,Lower East Side,40.72138,-73.98371,Entire home/apt,159,3,1,2014-08-28,0.02,1,0,1775
36408,28958325,Huge beedroom close to Cent. Park and Times Square,9187405,Sebastian,Manhattan,Midtown,40.76488,-73.9806,Private room,150,2,5,2018-11-24,0.57,1,0,226
14251,11042350,Charming Bedroom with Private Bath,1607646,Dee,Manhattan,East Harlem,40.80771,-73.93967,Private room,65,7,7,2018-10-31,0.3,1,0,250
21840,17547029,Bushwick Oasis Room #2: Close to the L or M train,28786801,Connie,Brooklyn,Bushwick,40.70288,-73.92796,Private room,54,1,1,2017-08-14,0.04,2,0,693
29914,23026346,"A Nice 3 Bedroom Apt in Pelham Bay, Bronx, NY.",170857849,Ziaul,Bronx,Pelham Bay,40.84934,-73.83345,Entire home/apt,119,3,28,2019-06-12,1.68,1,351,26
44757,34391029,Splendid 2BED/2BATH Midtown EAST LOFT,258221896,Ariel,Manhattan,Upper East Side,40.76256,-73.96389,Entire home/apt,250,6,7,2019-06-22,3.56,1,100,16
974,389482,Quaint & Quiet in Queens,1947974,Constance F.,Queens,Briarwood,40.71151,-73.81561,Private room,75,1,59,2018-11-09,0.69,2,0,241
37331,29644544,Cosy One-Bedroom in vibrant Washington Heights,41323748,Karen,Manhattan,Washington Heights,40.83414,-73.94565,Entire home/apt,125,5,18,2019-06-24,2.19,1,1,14
30290,23393043,Awesome Modern Oasis 2 Bdrm Apt in Brooklyn,59089906,Connie & Monty,Brooklyn,East New York,40.67237,-73.87651,Entire home/apt,139,3,21,2019-07-05,1.49,1,344,3
13323,10017871,Sound Bath Sanctuary II Manhattan,7217937,Joule,Manhattan,Inwood,40.8686,-73.92594,Private room,45,2,6,2019-06-17,0.5,2,64,21
33314,26322941,"Cobble Hill Retreat, 1-Bedroom Garden Apartment",27600568,Anne,Brooklyn,Cobble Hill,40.68537,-73.99861,Entire home/apt,195,2,55,2019-07-03,5.32,1,30,5
21072,16710016,Newly renovated 1 bdrm right by trains. Entire apt,2431149,Delphina,Brooklyn,Crown Heights,40.67024,-73.93406,Entire home/apt,69,1,7,2017-04-30,0.23,2,0,799
16316,13128861,"Cozy Studio in Clinton Hill, Brooklyn",16065842,Michael,Brooklyn,Clinton Hill,40.68511,-73.96638,Entire home/apt,100,2,64,2019-06-27,1.69,1,15,11
35397,28079986,Brooklyn Prospect Park Parade Ground Standard,202837291,Sarahya,Brooklyn,Flatbush,40.64668,-73.9642,Private room,65,1,20,2019-06-22,2.09,2,164,16
14815,11732848,Fort Greene Brooklyn mint rowhouse,292522,Jonathan,Brooklyn,Fort Greene,40.69014,-73.97347,Entire home/apt,495,5,10,2019-07-05,0.27,2,21,3
19441,15508399,Doorman Huge 2 bed with 3 Beds 5145,16098958,Jeremy & Laura,Manhattan,Hell's Kitchen,40.76702,-73.98741,Entire home/apt,202,30,3,2017-09-06,0.11,96,327,670
25152,20150770,Luxury condo- private room + bath w cable TV/W/D,75967547,Kristin,Manhattan,Harlem,40.80524,-73.95254,Private room,99,2,17,2018-12-03,0.73,2,0,217
43588,33741545,Astoria Apt,58024325,Nate,Queens,Astoria,40.76001,-73.92313,Private room,700,1,1,2019-05-06,0.47,1,125,63
30660,23719597,1 BR Near Union Square - a bridge to all boroughs,31665801,Harry,Manhattan,East Village,40.73294,-73.98847,Entire home/apt,178,3,40,2019-06-05,2.75,2,83,33
26309,20970822,Pet & Tony's Residence,150876351,Petra,Brooklyn,East Flatbush,40.65454,-73.91569,Entire home/apt,120,1,187,2019-07-04,8.75,1,318,4
27444,21632690,3BR Townhouse w BBQ - near Subway & Prospect Park,2107234,Jon & Tina,Brooklyn,Windsor Terrace,40.65503,-73.97774,Entire home/apt,149,2,17,2019-05-27,0.86,1,1,42
37289,29626157,Sun Drenched 1-Bed in the Heart of Park Slope,67516962,Phoebe,Brooklyn,Park Slope,40.66827,-73.98205,Entire home/apt,125,5,2,2019-05-19,0.76,1,9,50
8119,6261890,Williamsburg Penthouse with Stunning Views,32537024,Steve,Brooklyn,Williamsburg,40.71234,-73.94085,Entire home/apt,100,30,63,2018-09-12,1.25,1,321,299
6090,4455301,Pretty and Private in Clinton Hill,8490286,Jan,Brooklyn,Clinton Hill,40.68653,-73.96412,Entire home/apt,110,3,189,2019-07-01,3.4,1,268,7
26937,21344179,"bright airy 1BR in Prime downtown NY, view of city",4285729,Mark,Manhattan,Chinatown,40.71339,-73.99115,Entire home/apt,188,3,6,2019-04-22,0.44,1,364,77
9817,7556587,Sunny Room in Harlem,39608626,,Manhattan,Harlem,40.82929,-73.94182,Private room,28,1,1,2015-08-01,0.02,1,0,1437
30117,23221495,Private apartment w/parking,172736191,Gabriela,Queens,Briarwood,40.7149,-73.80916,Entire home/apt,80,5,51,2019-06-22,3.23,1,57,16
37592,29825469,Entire Top Floor Suite with Private Bathroom.,7443296,Faridath,Brooklyn,Cypress Hills,40.68072,-73.88787,Private room,120,2,26,2019-07-01,3.24,1,63,7
6877,4916150,Great location in South Manhattan,236659,Justin,Manhattan,Financial District,40.7082,-74.00139,Private room,78,1,1,2015-02-20,0.02,1,0,1599
6734,4830494,Charming & sunny studio apartment,2489199,Michael,Manhattan,Harlem,40.82376,-73.94492,Entire home/apt,99,25,16,2019-07-01,0.3,1,157,7
31371,24376374,Welcome to YURT -- cozy room in East Village,3436710,Kaptan,Manhattan,East Village,40.72433,-73.97688,Private room,120,1,18,2019-06-14,1.22,2,28,24
9669,7433174,Apt.-private entrance -Townhouse- 10mins. to JFK,34789416,Carl,Queens,Springfield Gardens,40.67205,-73.75343,Private room,109,1,1,2018-06-16,0.08,1,365,387
36145,28734438,New York Chelsea Apartment,545355,Kevin,Manhattan,Chelsea,40.74497,-74.00571,Entire home/apt,225,3,2,2019-01-01,0.26,1,0,188
17475,13760302,Private Micro Room 3,59529529,Han,Manhattan,Hell's Kitchen,40.76277,-73.99424,Private room,70,1,220,2019-06-30,6.0,6,180,8
13207,9966717,"Spacious, Sunny, Holiday in Brklyn!",51216049,Natalie,Brooklyn,Crown Heights,40.67758,-73.93547,Private room,49,1,2,2016-01-02,0.05,1,0,1283
32449,25424961,Charming Glass Room in 1b Apt in heart of SoHo,2695451,Elle,Manhattan,SoHo,40.72425,-74.00331,Private room,55,2,3,2019-06-29,0.25,2,0,9
45222,34608937,Heart of Manhattan! 3BR Near Time Square!,256726587,Rolando,Manhattan,Hell's Kitchen,40.75546,-73.99416,Entire home/apt,199,30,1,2019-05-25,0.67,1,176,44
36569,29075705,Convenient room in Williamsburg,58658843,Maxim,Brooklyn,Williamsburg,40.70987,-73.95818,Private room,66,1,45,2019-06-23,4.91,3,75,15
27671,21738886,UES Manhattan full service doorman building 2 BR,158334115,Leslie,Manhattan,Upper East Side,40.76237,-73.96374,Entire home/apt,500,2,12,2019-05-06,0.78,1,85,63
43170,33492175,The beautiful room with your own bathroom,175370972,Young,Queens,Flushing,40.7577,-73.83519,Private room,65,1,13,2019-06-22,4.06,1,36,16
19044,15126948,"Large & Nice, Bright 1 Bdrm in East Village, NYC",23089531,Caitlin,Manhattan,East Village,40.72609,-73.98795,Private room,100,2,74,2019-06-24,2.2,3,62,14
14934,11866301,Beautifully spacious 1 bedroom,63256824,Xavier,Bronx,Norwood,40.87925,-73.88254,Entire home/apt,80,1,2,2016-05-26,0.05,1,0,1138
12188,9452124,LUXURY@ Reasonable Price! Few Mins 2 Times Square!,34403316,Ben,Manhattan,East Harlem,40.79382,-73.94334,Entire home/apt,145,1,152,2019-06-21,3.43,1,200,17
32153,25135607,"Quiet, sunny Greenpoint apartment perfect for 4",31612339,Julia,Brooklyn,Greenpoint,40.73675,-73.95443,Entire home/apt,150,5,6,2018-08-29,0.49,1,0,313
44630,34331925,Entire Flat in Perfect Location (Nolita),2463994,Kiarash,Manhattan,Nolita,40.72223,-73.99544,Entire home/apt,200,1,1,2019-05-14,0.54,1,0,55
34284,27202604,NICE COZY PRIVET ROOM,26877037,Catherine,Brooklyn,Sheepshead Bay,40.59887,-73.9579,Private room,138,1,1,2018-12-04,0.14,2,269,216
21354,17013137,Cozy private bedroom in Bedford Stuyvesant,40872011,Clotilde & Nicolas,Brooklyn,Bedford-Stuyvesant,40.68533,-73.91941,Private room,45,2,22,2019-05-20,0.83,1,51,49
26097,20815456,"Quiet/Modern Triplex loft, steps to prospect park!",1334160,Andrea,Brooklyn,Prospect Heights,40.67729,-73.96535,Private room,120,5,37,2019-07-03,1.71,1,135,5
11199,8672280,Large  Studio - Midtown Manhattan Near Times Sq,4068325,Regina,Manhattan,Midtown,40.75594,-73.96874,Entire home/apt,250,3,8,2019-06-16,0.19,1,1,22
18414,14479761,Charming Studio in Astoria,5760525,Michael,Queens,Long Island City,40.76266,-73.92773,Entire home/apt,105,2,51,2019-06-23,1.48,1,208,15
4258,2804557,Cozy bedroom in shared 2br apt,8741682,Ines,Manhattan,Morningside Heights,40.80504,-73.96454,Private room,100,4,1,2015-04-25,0.02,1,0,1535
328,80700,Loft w/ Terrace @ Box House Hotel,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73738,-73.95482,Private room,349,3,7,2019-05-24,0.07,28,60,45
13176,9943876,"Bright, sunny, cozy, convenient Williamsburg 1-BR",19758408,Nicholas,Brooklyn,Williamsburg,40.71817,-73.95635,Entire home/apt,175,2,3,2016-07-05,0.08,1,0,1098
20345,16252722,Sunny large loft&rooftop in Williamsburg,18625208,Delphine,Brooklyn,Williamsburg,40.71606,-73.95135,Private room,85,2,4,2017-10-15,0.13,1,0,631
38500,30294144,It's a Stunning Day in Bed-Stuy!,19536596,Andrew,Brooklyn,Crown Heights,40.67612,-73.90813,Private room,48,1,21,2019-07-04,3.04,5,252,4
42462,32959453,Vibrant Apartment By The Beach,2361627,Will,Queens,Rockaway Beach,40.58532,-73.81687,Entire home/apt,66,7,2,2019-05-14,0.85,1,0,55
43505,33689647,Brooklyn Bliss 2,44929652,Lawanne,Brooklyn,East Flatbush,40.64578,-73.94756,Private room,75,2,7,2019-07-01,4.12,4,361,7
7885,6040757,Big & Bright w Terrace near park!,23713669,Vanessa & Martin,Brooklyn,Prospect Heights,40.67554,-73.96384,Entire home/apt,225,3,29,2019-06-04,0.58,1,56,34
19253,15336596,Private bedroom in artsy NYC apartment.,77010815,Eean,Bronx,Norwood,40.8722,-73.87607,Private room,50,3,22,2019-06-02,0.76,1,342,36
34945,27703756,Gorgeous 3BR Home Bear JFK & only 25min to NYC,32126880,Bryant,Queens,Laurelton,40.67563,-73.74713,Entire home/apt,175,2,6,2019-06-15,0.97,2,317,23
4322,2888877,"Sunny, clean studio.",14763882,Paulo,Manhattan,Kips Bay,40.74288,-73.9803,Entire home/apt,180,4,5,2015-11-03,0.1,1,184,1343
10431,7987209,Floor 35th in the heart of New York,42154621,Ricardo,Manhattan,Theater District,40.7566,-73.98329,Entire home/apt,1195,3,109,2019-06-02,2.37,1,264,36
13698,10273251,Cozy Place - Convenient Location,13187595,Angelica,Brooklyn,Bushwick,40.70161,-73.93131,Entire home/apt,120,4,77,2019-07-05,1.92,1,1,3
17441,13742783,Spacious Top Floor 2 BR Unit with Balcony,80463005,Anita,Brooklyn,Flatbush,40.63316,-73.96606,Entire home/apt,120,2,48,2018-04-08,1.36,1,53,456
6940,4973520,Sunny Room near Central Park,12342828,Marco,Manhattan,East Harlem,40.79399,-73.94255,Private room,84,4,99,2019-06-28,2.06,2,11,10
13242,9985852,Garden View Bedroom in Brownstone,310458,Emily,Brooklyn,Park Slope,40.66588,-73.97833,Private room,60,14,1,2016-04-01,0.03,2,0,1193
30885,23918528,Serene Central Park Getaway,20585393,Allison,Manhattan,Upper West Side,40.80091,-73.95912,Private room,64,1,4,2018-05-28,0.26,1,0,406
6523,4734170,Modern 1 BD near Prospect Park,17893360,Charles,Brooklyn,Crown Heights,40.67238,-73.95768,Entire home/apt,109,1,18,2017-04-14,0.38,1,0,815
2296,1107092,Brand new 2BD Apt in Gramercy,4373782,Victoria,Manhattan,Kips Bay,40.74052,-73.97907,Entire home/apt,650,30,36,2019-06-29,0.48,1,256,9
47218,35642891,Beautiful room in Bushwick,268138154,Julio,Brooklyn,Bushwick,40.6964,-73.91898,Private room,10,1,2,2019-06-18,2.0,1,0,20
10722,8253376,large house with inground pool/spa,43524236,Miran,Staten Island,Todt Hill,40.60926,-74.10092,Entire home/apt,429,2,4,2015-11-06,0.09,1,0,1340
5443,3940301,1 bdrm in Washington Hgts-Park side,7837510,Anna,Manhattan,Washington Heights,40.85722,-73.93354,Entire home/apt,90,7,1,2014-10-17,0.02,1,124,1725
21365,17026435,"Artist room in the heart of Bushwick, Brooklyn NY",114209467,Prashant,Brooklyn,Bushwick,40.69482,-73.91165,Private room,30,1,1,2017-02-09,0.03,1,0,879
25602,20498407,Your Cozy Home in Astoria,19901294,Paco,Queens,Astoria,40.76255,-73.92347,Entire home/apt,106,4,1,2017-09-10,0.04,1,0,666
13787,10386831,Cozy Room in Boerum Hill,15895218,Amy,Brooklyn,Gowanus,40.68444,-73.98847,Private room,62,2,1,2016-01-18,0.02,2,0,1267
33671,26669041,A Cozy Single bed for Female Girls,200479961,Fei,Brooklyn,East New York,40.6757,-73.87657,Shared room,25,2,26,2019-06-04,2.25,1,50,34
34652,27489247,MASSIVE Studio Space,12841127,Savannah,Manhattan,East Harlem,40.7895,-73.94827,Entire home/apt,128,90,8,2019-01-02,0.71,1,0,187
43980,33975581,Alphabet City Room,39077228,Kevin,Manhattan,East Village,40.72827,-73.98041,Private room,83,2,2,2019-04-18,0.73,1,15,81
35185,27910119,Stylish and cozy flat in West Village with 3 beds,99683151,Christina,Manhattan,West Village,40.7334,-74.00323,Entire home/apt,180,3,21,2019-06-29,2.09,3,162,9
14635,11554255,❤️PRIVATE ROOM❤️ Female guest only,60126047,Renuca,Queens,Jamaica,40.67667,-73.79829,Private room,40,3,11,2017-10-15,0.33,1,318,631
16693,13355711,Private room in Washington Heights,39644709,Adriana,Manhattan,Washington Heights,40.851,-73.93141,Private room,35,3,1,2016-07-31,0.03,1,0,1072
35660,28312520,Little paradise,131993336,David,Queens,Forest Hills,40.71962,-73.85,Private room,49,1,47,2019-06-26,4.64,2,196,12
14034,10702506,Large studio w/ doorman and elevator,23778489,Valissa,Manhattan,East Village,40.72215,-73.98496,Entire home/apt,165,4,8,2018-10-21,0.21,1,351,260
41445,32239640,Sonder | Stock Exchange | Tasteful 3BR + Kitchen,219517861,Sonder (NYC),Manhattan,Financial District,40.70632,-74.0116,Entire home/apt,468,2,11,2019-06-21,3.0,327,267,17
44832,34419247,Cutest LIC-Beautiful garden-Midtown1stop-Breakfast,259796664,Santi,Queens,Long Island City,40.75411,-73.93634,Private room,89,1,9,2019-06-16,6.28,10,358,22
19289,15367894,Bedford Stuyvesant / Clinton Hill 2 bedroom,2431238,Ted,Brooklyn,Bedford-Stuyvesant,40.68709,-73.95444,Entire home/apt,125,3,93,2019-07-01,2.78,1,13,7
9870,7597951,Private BR in Modern Apt @ LES,17868326,Joshua,Manhattan,Lower East Side,40.72028,-73.98182,Private room,80,3,1,2016-04-27,0.03,1,0,1167
43149,33474092,"1 Bedroom, Pvt Living Space & Bath- Till May 30th",13206448,Ruchi,Manhattan,Upper West Side,40.79908,-73.96465,Private room,50,7,2,2019-05-24,0.6,1,283,45
35725,28347338,Lofty & Sunny 2 Bedroom w/ Manhattan Skyline View,214044763,Donald,Brooklyn,Greenpoint,40.73403,-73.95746,Entire home/apt,175,4,35,2019-07-03,3.51,1,69,5
38373,30218133,The Exclusive Studio Manhattan NYC,13133052,Bruno,Manhattan,Midtown,40.74749,-73.9869,Entire home/apt,182,3,16,2019-07-01,2.31,1,301,7
23132,18732648,Large Private Bedroom in Cool Williamsburg Apt.,30487854,Ben,Brooklyn,Williamsburg,40.71219,-73.96085,Private room,50,5,16,2019-06-22,0.62,2,10,16
33403,26394988,Gorgeous room in luxury apartment (2),198478845,Jelani,Brooklyn,Clinton Hill,40.68697,-73.96063,Private room,59,3,10,2019-06-05,0.87,2,150,33
30566,23651443,Matilda's House,32772480,Lorna,Brooklyn,Prospect-Lefferts Gardens,40.65923,-73.96031,Entire home/apt,150,3,10,2019-07-02,0.64,2,187,6
8766,6728550,"Cozy, Spacious Bedstuy Pad",34058193,Beverly,Brooklyn,Bedford-Stuyvesant,40.68972,-73.95629,Entire home/apt,60,5,5,2015-11-25,0.1,1,0,1321
22795,18457273,"Clean and Cozy Private Room in Inwood, Manhattan",17420574,Kayleigh,Manhattan,Inwood,40.8677,-73.9225,Private room,55,2,4,2017-05-29,0.15,1,0,770
5252,3798874,Spacious Duplex Garden Apt Park Slope Brooklyn,19510462,Tracey,Brooklyn,Park Slope,40.68098,-73.97925,Entire home/apt,275,3,4,2016-09-17,0.07,1,0,1024
11447,8889664,Cozy East Village Apartment,7006490,Jibran,Manhattan,East Village,40.72797,-73.97787,Private room,77,1,9,2016-09-10,0.21,1,0,1031
31299,24306539,New Chic Designer's Bedroom,16257970,Jackie,Manhattan,Lower East Side,40.71313,-73.98665,Private room,89,3,48,2019-07-05,3.19,2,181,3
36216,28801345,Cozy Chic Bedroom in the Heart of West Village,1015883,Katie,Manhattan,West Village,40.73106,-74.00301,Private room,125,1,7,2019-05-22,0.83,1,156,47
23531,19051760,Bonito dormitorio 20-25 minutos Times Square.,132983866,Carmelo,Manhattan,Washington Heights,40.84733,-73.93445,Private room,75,1,100,2019-07-06,4.52,1,280,2
8812,6761084,mhttnfullapt lowprce,29239547,Emanuel,Manhattan,Washington Heights,40.85322,-73.93563,Entire home/apt,89,2,25,2019-06-23,0.79,1,346,15
23407,18946117,Sunny 2 bedroom apartment on Upper East Side,590825,Alex,Manhattan,Upper East Side,40.77559,-73.95033,Entire home/apt,160,2,2,2017-08-12,0.08,1,0,695
681,253842,1 BR w/ Terrace @ Box House Hotel,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73714,-73.95296,Private room,299,3,6,2018-04-19,0.1,28,60,445
4781,3387493,Superior Two BR - UES (30 Days MIN),15310997,Mor,Manhattan,Upper East Side,40.78193,-73.94884,Entire home/apt,300,30,3,2017-11-30,0.05,9,365,585
23931,19309355,Small and Cozy Private Room in Downtown,8962305,Cici,Manhattan,Lower East Side,40.71391,-73.98938,Private room,61,5,8,2019-04-23,0.65,3,50,76
16493,13223445,UWS Room May 30 - June 8,51756175,Khalil,Manhattan,Upper West Side,40.77282,-73.9808,Private room,115,10,1,2016-06-09,0.03,1,0,1124
15532,12487909,旅途中的家,66574216,Mabel,Queens,Flushing,40.76564,-73.82043,Private room,65,1,122,2019-06-24,3.16,1,86,14
