,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,days_from_last_review
27438,21630372,Beautiful and confortable room,109146538,Marisol,Queens,Jackson Heights,40.75184,-73.88722,Private room,60,1,46,2019-07-01,2.29,1,30,7
13825,10435733,Cute Spacious Williamsburg Apt,5927655,Ann,Brooklyn,Williamsburg,40.71892,-73.95616,Private room,115,3,27,2018-10-29,0.69,1,56,252
473,166983,"3 BR, Beautiful Brooklyn Duplex",795640,Jilly,Brooklyn,Carroll Gardens,40.68252,-73.99619,Entire home/apt,350,5,6,2015-08-08,0.06,1,0,1430
46103,35081477,West Village Gem! Like Paris,196890,Siobhan,Manhattan,West Village,40.72905,-74.00294,Entire home/apt,165,2,2,2019-06-23,1.62,1,21,15
33450,26443376,Big 1BR in PRIME Bushwick! 2 blocks to L Train!,6293227,Nish,Brooklyn,Bushwick,40.70148,-73.91834,Entire home/apt,90,3,9,2019-06-01,0.74,1,0,37
29445,22586352,Spacious 3 bedroom in Manhattan,166066107,Mia,Manhattan,East Village,40.72193,-73.98162,Entire home/apt,280,1,66,2019-06-24,3.88,1,257,14
47254,35656689,Jackson Heights stay near everything,133130957,Meya,Queens,Elmhurst,40.74509,-73.88492,Entire home/apt,120,1,1,2019-06-25,1.0,1,331,13
31941,24931508,Sunny & Spacious 1 bedroom in Williamsburg,187530856,Baris,Brooklyn,Williamsburg,40.70933,-73.94779,Entire home/apt,265,2,4,2018-10-07,0.29,2,89,274
6673,4802374,Charming Upper East Side Studio,12968821,Anupam,Manhattan,Upper East Side,40.77613,-73.9462,Entire home/apt,119,10,12,2016-07-20,0.22,1,0,1083
28533,22115009,Shared room with Bed Tent (Privacy Pop).,44620317,Claudia,Queens,Corona,40.74061,-73.85651,Shared room,45,1,8,2018-09-28,0.53,4,347,283
39452,30741302,**Cozy Private Room(B),52140932,Diana And Peter,Brooklyn,Bedford-Stuyvesant,40.68543,-73.95014,Private room,49,2,19,2019-06-20,3.22,7,360,18
22923,18569279,"ENTIRE HOME- UPPER EAST SIDE, NYC",4677247,Elizabeth,Manhattan,Upper East Side,40.77973,-73.95039,Entire home/apt,150,2,17,2019-05-15,0.71,1,338,54
