,Feature,Feature Importance
5,days_from_last_review,31.728355185013317
2,number_of_reviews,22.841847282729578
1,minimum_nights,14.138551392298401
4,availability_365,9.038644392246269
0,price,4.251805915153445
3,calculated_host_listings_count,2.2148451257345263
201,room_type_Private room,1.2221766383602908
175,neighbourhood_Theater District,1.008163638801477
200,room_type_Entire home/apt,0.8941489632673257
9,neighbourhood_group_Queens,0.807950831915998
238,longitude_5.0,0.7830410669782433
8,neighbourhood_group_Manhattan,0.5857588831366981
7,neighbourhood_group_Brooklyn,0.5064160697862135
262,longitude_29.0,0.4219897344234992
63,neighbourhood_East Elmhurst,0.42059665690663134
224,latitude_21.0,0.3849750699062433
95,neighbourhood_Hell's Kitchen,0.37887496168013796
225,latitude_22.0,0.36996762224883073
101,neighbourhood_Jamaica,0.33969353739853536
257,longitude_24.0,0.3057570345317053
226,latitude_23.0,0.27818371461576624
206,latitude_3.0,0.272299105842561
120,neighbourhood_Midtown,0.25795983599139677
64,neighbourhood_East Flatbush,0.22888718189517407
227,latitude_24.0,0.2122614219647984
148,neighbourhood_Queens Village,0.20670886322641052
22,neighbourhood_Bedford-Stuyvesant,0.19519051108634342
216,latitude_13.0,0.182063948162498
222,latitude_19.0,0.1779408973484267
237,longitude_4.0,0.16412157909905628
223,latitude_20.0,0.1616319210632241
260,longitude_27.0,0.15259959306465823
250,longitude_17.0,0.1521815070031868
261,longitude_28.0,0.1434540795548335
247,longitude_14.0,0.14329791433786015
207,latitude_4.0,0.1309918314616959
213,latitude_10.0,0.13054503467067619
203,latitude_0.0,0.1264328553654652
94,neighbourhood_Harlem,0.12183645323506447
182,neighbourhood_Two Bridges,0.11931094922070608
240,longitude_7.0,0.11100488086635804
195,neighbourhood_Williamsburg,0.11014695763272035
258,longitude_25.0,0.10266200262909808
202,room_type_Shared room,0.10243076327361193
214,latitude_11.0,0.10231650429652393
55,neighbourhood_Crown Heights,0.09626071098092302
114,neighbourhood_Lower East Side,0.08959917037189215
168,neighbourhood_Springfield Gardens,0.08846410206638498
253,longitude_20.0,0.08281013019103044
211,latitude_8.0,0.08259224894130754
218,latitude_15.0,0.07924652450796317
35,neighbourhood_Bushwick,0.07534117411663226
205,latitude_2.0,0.07057557821840833
72,neighbourhood_Elmhurst,0.06991392986683975
249,longitude_16.0,0.06927586899226909
153,neighbourhood_Ridgewood,0.06899075112103221
217,latitude_14.0,0.06650058342854404
37,neighbourhood_Canarsie,0.06484674094413378
236,longitude_3.0,0.06418679466627696
108,neighbourhood_Kips Bay,0.06253260787326449
82,neighbourhood_Fort Greene,0.06206302076827353
229,latitude_26.0,0.055109379403012804
6,neighbourhood_group_Bronx,0.05451831044883146
239,longitude_6.0,0.054397107495092877
242,longitude_9.0,0.0517076632748198
210,latitude_7.0,0.049664295656735954
241,longitude_8.0,0.04911674262839723
172,neighbourhood_Stuyvesant Town,0.04800057661469103
199,neighbourhood_Woodside,0.04754424119477094
244,longitude_11.0,0.047501899544216956
234,longitude_1.0,0.046858239095156955
117,neighbourhood_Maspeth,0.04662314431238678
65,neighbourhood_East Harlem,0.04479281573932505
24,neighbourhood_Bensonhurst,0.043791988383007414
39,neighbourhood_Chelsea,0.04352738161454548
68,neighbourhood_East Village,0.043162390484534144
