,id,host_id,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,days_from_last_review
count,7768.0,7768.0,7768.0,7768.0,7768.0,7768.0,7768.0,7768.0,7768.0,7768.0,7768.0
mean,18050746.632337797,64511514.8165551,40.72805386714727,-73.95152341143151,142.22978887744594,5.873326467559218,28.902420185375902,1.3594670442842431,5.136585993820804,115.31719876416066,277.4150360453141
std,10705663.371780058,76441857.70657896,0.05511583598513005,0.046344578781815395,217.47878190223918,15.288737915482356,47.304350352953854,1.6235855375938077,26.14177330157028,129.78225141587578,417.01095083645185
min,5178.0,2438.0,40.50868,-74.24442,0.0,1.0,1.0,0.01,1.0,0.0,0.0
25%,8632133.5,7071581.25,40.6890675,-73.98293,68.0,1.0,3.0,0.2,1.0,0.0,15.0
50%,18711491.5,27672199.0,40.721315000000004,-73.95508,100.0,2.0,10.0,0.71,1.0,58.0,49.0
75%,27493103.75,102756443.0,40.76304,-73.9365775,165.0,4.0,32.0,2.01,2.0,230.0,364.25
max,36351543.0,272327753.0,40.91234,-73.71928,9999.0,365.0,597.0,27.95,327.0,365.0,2744.0
