iter	Passed	Remaining
206	1721	6596
207	1726	6574
208	1731	6552
209	1736	6533
210	1745	6528
211	1750	6508
212	1756	6488
213	1762	6475
214	1771	6467
215	1778	6453
216	1791	6463
217	1798	6451
218	1804	6436
219	1809	6417
220	1816	6403
221	1822	6387
222	1828	6369
223	1838	6369
224	1845	6355
225	1851	6341
226	1856	6323
227	1864	6311
228	1871	6301
229	1877	6286
230	1890	6293
231	1896	6279
232	1904	6269
233	1910	6254
234	1916	6238
235	1922	6225
236	1929	6213
237	1937	6204
238	1945	6193
239	1952	6183
240	1958	6169
241	1965	6155
242	1972	6146
243	1979	6133
244	1990	6134
245	1996	6119
246	2006	6115
247	2013	6106
248	2020	6095
249	2026	6080
250	2034	6071
251	2040	6055
252	2044	6035
253	2048	6016
254	2052	5996
255	2057	5978
256	2062	5962
257	2067	5947
258	2072	5929
259	2077	5913
260	2083	5899
261	2088	5882
262	2093	5865
263	2098	5851
264	2104	5835
265	2109	5819
266	2114	5805
267	2120	5790
268	2125	5775
269	2129	5758
270	2135	5744
271	2140	5730
272	2146	5715
273	2150	5698
274	2155	5682
275	2161	5668
276	2168	5658
277	2173	5644
278	2179	5632
279	2185	5618
280	2189	5603
281	2195	5590
282	2199	5573
283	2203	5555
284	2208	5539
285	2213	5526
286	2218	5511
287	2224	5499
288	2228	5482
289	2234	5469
290	2238	5454
291	2243	5439
292	2248	5426
293	2253	5411
294	2258	5398
295	2263	5384
296	2268	5368
297	2273	5355
298	2278	5341
299	2283	5327
300	2288	5313
301	2292	5298
302	2296	5283
303	2300	5267
304	2304	5251
305	2308	5236
306	2312	5220
307	2316	5205
308	2322	5192
309	2329	5184
310	2335	5173
311	2341	5163
312	2348	5154
313	2356	5148
314	2363	5140
315	2370	5131
316	2375	5118
317	2381	5108
318	2389	5100
319	2395	5090
320	2400	5078
321	2405	5064
322	2409	5051
323	2414	5037
324	2419	5024
325	2425	5014
326	2430	5002
327	2436	4991
328	2441	4979
329	2447	4969
330	2453	4958
331	2458	4947
332	2464	4936
333	2470	4925
334	2477	4918
335	2482	4906
336	2489	4897
337	2494	4886
338	2500	4875
339	2506	4865
340	2511	4854
341	2517	4843
342	2523	4834
343	2528	4822
344	2533	4810
345	2538	4797
346	2543	4786
347	2548	4774
348	2553	4763
349	2558	4751
350	2563	4740
351	2569	4730
352	2575	4720
353	2580	4708
354	2585	4697
355	2590	4685
356	2595	4674
357	2600	4663
358	2605	4652
359	2610	4640
360	2616	4630
361	2621	4619
362	2626	4608
363	2632	4598
364	2637	4589
365	2642	4578
366	2647	4567
367	2653	4556
368	2658	4546
369	2664	4536
370	2670	4527
371	2675	4516
372	2680	4505
373	2685	4495
374	2691	4485
375	2696	4475
376	2702	4465
377	2706	4454
378	2710	4441
379	2715	4430
380	2720	4419
381	2725	4409
382	2731	4400
383	2736	4390
384	2741	4379
385	2747	4369
386	2751	4359
387	2756	4347
388	2762	4339
389	2767	4329
390	2773	4320
391	2779	4311
392	2785	4302
393	2792	4295
394	2799	4287
395	2805	4279
396	2811	4270
397	2818	4263
398	2825	4255
399	2831	4246
400	2837	4238
401	2843	4230
402	2850	4222
403	2856	4214
404	2862	4205
405	2868	4197
406	2874	4188
407	2881	4180
408	2886	4170
409	2891	4160
410	2896	4150
411	2901	4140
412	2906	4131
413	2911	4121
414	2916	4111
415	2921	4101
416	2926	4091
417	2931	4081
418	2936	4071
419	2941	4061
420	2946	4051
421	2950	4040
422	2955	4032
423	2961	4022
424	2966	4013
425	2971	4003
426	2977	3995
427	2982	3986
428	2988	3977
429	2993	3968
430	2998	3958
431	3004	3949
432	3008	3940
433	3013	3930
434	3019	3921
435	3024	3912
436	3028	3902
437	3033	3892
438	3039	3883
439	3044	3875
440	3048	3864
441	3053	3854
442	3058	3845
443	3062	3835
444	3067	3826
445	3072	3816
446	3077	3807
447	3082	3798
448	3088	3789
449	3093	3780
450	3098	3772
451	3103	3763
452	3109	3754
453	3114	3745
454	3119	3736
455	3124	3727
456	3129	3717
457	3133	3708
458	3138	3698
459	3143	3689
460	3148	3680
461	3152	3671
462	3158	3662
463	3162	3653
464	3167	3643
465	3171	3634
466	3176	3624
467	3180	3615
468	3185	3606
469	3189	3597
470	3194	3587
471	3198	3578
472	3203	3568
473	3207	3559
474	3212	3550
475	3217	3541
476	3222	3532
477	3227	3524
478	3232	3515
479	3237	3506
480	3241	3498
481	3247	3490
482	3253	3482
483	3258	3474
484	3263	3465
485	3269	3457
486	3275	3450
487	3281	3442
488	3286	3434
489	3291	3426
490	3296	3417
491	3302	3409
492	3307	3401
493	3312	3393
494	3318	3385
495	3323	3376
496	3327	3368
497	3333	3359
498	3338	3352
499	3343	3343
500	3347	3334
501	3354	3327
502	3360	3320
503	3366	3312
504	3371	3304
505	3376	3296
506	3382	3288
507	3387	3280
508	3393	3273
509	3398	3265
510	3403	3256
511	3407	3248
512	3413	3240
513	3419	3232
514	3424	3224
515	3430	3217
516	3435	3209
517	3440	3201
518	3447	3194
519	3451	3186
520	3457	3178
521	3462	3170
522	3467	3162
523	3472	3154
524	3477	3146
525	3484	3139
526	3489	3132
527	3494	3123
528	3499	3116
529	3504	3107
530	3509	3099
531	3514	3091
532	3519	3083
533	3523	3074
534	3527	3066
535	3533	3058
536	3538	3050
537	3542	3042
538	3547	3034
539	3553	3026
540	3558	3018
541	3563	3010
542	3567	3002
543	3572	2994
544	3577	2986
545	3582	2978
546	3587	2971
547	3593	2963
548	3598	2955
549	3602	2947
550	3607	2939
551	3612	2931
552	3617	2923
553	3622	2915
554	3626	2907
555	3631	2899
556	3635	2891
557	3640	2883
558	3644	2875
559	3649	2867
560	3654	2859
561	3659	2852
562	3666	2845
563	3672	2839
564	3677	2831
565	3682	2823
566	3687	2816
567	3692	2808
568	3697	2800
569	3702	2792
570	3706	2785
571	3711	2777
572	3716	2769
573	3721	2762
574	3726	2754
575	3730	2746
576	3736	2739
577	3741	2731
578	3745	2723
579	3750	2716
580	3755	2708
581	3759	2700
582	3764	2692
583	3769	2684
584	3773	2677
585	3778	2669
586	3784	2662
587	3789	2655
588	3794	2647
589	3799	2640
590	3804	2632
591	3808	2624
592	3812	2616
593	3816	2608
594	3820	2600
595	3824	2592
596	3828	2584
597	3832	2576
598	3836	2568
599	3840	2560
600	3844	2552
601	3849	2544
602	3853	2537
603	3857	2529
604	3861	2521
605	3866	2513
606	3871	2506
607	3875	2498
608	3879	2490
609	3882	2482
610	3886	2474
611	3890	2466
612	3894	2458
613	3898	2450
614	3902	2443
615	3906	2435
616	3910	2427
617	3915	2420
618	3920	2412
619	3924	2405
620	3928	2397
621	3931	2389
622	3936	2382
623	3940	2374
624	3944	2366
625	3948	2359
626	3952	2351
627	3957	2343
628	3961	2336
629	3965	2328
630	3969	2321
631	3972	2313
632	3977	2305
633	3981	2298
634	3984	2290
635	3988	2282
636	3992	2275
637	3996	2267
638	4000	2260
639	4004	2252
640	4008	2244
641	4012	2237
642	4016	2229
643	4019	2221
644	4023	2214
645	4027	2206
646	4031	2199
647	4035	2192
648	4039	2184
649	4044	2177
650	4048	2170
651	4053	2163
652	4058	2156
653	4063	2149
654	4067	2142
655	4072	2135
656	4077	2128
657	4082	2122
658	4086	2114
659	4091	2107
660	4096	2101
661	4101	2094
662	4107	2087
663	4112	2081
664	4118	2074
665	4123	2068
666	4129	2061
667	4134	2054
668	4140	2048
669	4146	2042
670	4151	2035
671	4157	2029
672	4165	2023
673	4171	2017
674	4177	2011
675	4182	2004
676	4188	1998
677	4196	1993
678	4203	1987
679	4210	1981
680	4216	1975
681	4223	1969
682	4230	1963
683	4236	1957
684	4242	1950
685	4247	1944
686	4253	1937
687	4258	1931
688	4263	1924
689	4268	1917
690	4273	1911
691	4279	1904
692	4286	1898
693	4291	1892
694	4297	1885
695	4302	1879
696	4308	1873
697	4314	1866
698	4320	1860
699	4326	1854
700	4331	1847
701	4337	1841
702	4342	1834
703	4348	1828
704	4353	1821
705	4363	1816
706	4369	1810
707	4374	1804
708	4379	1797
709	4385	1791
710	4391	1784
711	4396	1778
712	4401	1771
713	4407	1765
714	4412	1758
715	4418	1752
716	4424	1746
717	4429	1739
718	4435	1733
719	4440	1727
720	4446	1720
721	4452	1714
722	4458	1708
723	4464	1702
724	4469	1695
725	4474	1688
726	4479	1682
727	4485	1675
728	4491	1669
729	4496	1662
730	4501	1656
731	4506	1650
732	4512	1643
733	4518	1637
734	4524	1631
735	4529	1624
736	4542	1620
737	4549	1615
738	4557	1609
739	4563	1603
740	4570	1597
741	4576	1591
742	4581	1584
743	4586	1578
744	4592	1571
745	4597	1565
746	4603	1559
747	4608	1552
748	4614	1546
749	4620	1540
750	4625	1533
751	4630	1527
752	4636	1520
753	4642	1514
754	4647	1508
755	4653	1501
756	4660	1496
757	4669	1490
758	4676	1484
759	4682	1478
760	4687	1472
761	4692	1465
762	4698	1459
763	4703	1453
764	4710	1447
765	4719	1441
766	4724	1435
767	4732	1429
768	4737	1423
769	4741	1416
770	4746	1409
771	4751	1403
772	4759	1397
773	4768	1392
774	4775	1386
775	4781	1380
776	4787	1373
777	4794	1368
778	4801	1362
779	4813	1357
780	4819	1351
781	4837	1348
782	4879	1352
783	4885	1346
784	4894	1340
785	4918	1339
786	4949	1339
787	4966	1336
788	5063	1354
789	5127	1362
790	5136	1357
791	5153	1353
792	5161	1347
793	5166	1340
794	5173	1333
795	5179	1327
796	5184	1320
797	5195	1315
798	5213	1311
799	5259	1314
800	5271	1309
801	5286	1305
802	5293	1298
803	5299	1291
804	5307	1285
805	5313	1278
806	5320	1272
807	5326	1265
808	5331	1258
809	5337	1252
810	5343	1245
811	5352	1239
812	5359	1232
813	5365	1226
814	5372	1219
815	5377	1212
816	5383	1205
817	5389	1199
818	5396	1192
819	5407	1187
820	5414	1180
821	5422	1174
822	5430	1167
823	5440	1161
824	5446	1155
825	5458	1149
826	5467	1143
827	5475	1137
828	5481	1130
829	5487	1123
830	5493	1117
831	5503	1111
832	5510	1104
833	5515	1097
834	5521	1090
835	5526	1084
836	5532	1077
837	5538	1070
838	5544	1063
839	5550	1057
840	5555	1050
841	5561	1043
842	5566	1036
843	5573	1030
844	5577	1023
845	5584	1016
846	5591	1010
847	5598	1003
848	5603	996
849	5608	989
850	5615	983
851	5623	976
852	5628	969
853	5633	963
854	5638	956
855	5644	949
856	5653	943
857	5658	936
858	5665	929
859	5670	923
860	5684	917
861	5694	911
862	5707	906
863	5712	899
864	5719	892
865	5723	885
866	5729	878
867	5734	871
868	5740	865
869	5746	858
870	5751	851
871	5755	844
872	5760	838
873	5765	831
874	5771	824
875	5776	817
876	5781	810
877	5785	803
878	5793	797
879	5800	790
880	5824	786
881	5841	781
882	5859	776
883	5870	770
884	5883	764
885	5902	759
886	5917	753
887	5933	748
888	5944	742
889	5956	736
890	5966	729
891	5973	723
892	5982	716
893	5990	710
894	5996	703
895	6008	697
896	6024	691
897	6031	685
898	6041	678
899	6057	673
900	6067	666
901	6089	661
902	6136	659
903	6172	655
904	6180	648
905	6188	642
906	6194	635
907	6207	628
908	6216	622
909	6222	615
910	6230	608
911	6239	602
912	6259	596
913	6268	589
914	6287	584
915	6313	578
916	6327	572
917	6339	566
918	6363	560
919	6369	553
920	6382	547
921	6396	541
922	6404	534
923	6412	527
924	6418	520
925	6425	513
926	6432	506
927	6448	500
928	6460	493
929	6484	488
930	6498	481
931	6508	474
932	6514	467
933	6522	460
934	6528	453
935	6537	446
936	6544	440
937	6550	432
938	6555	425
939	6560	418
940	6564	411
941	6568	404
942	6574	397
943	6579	390
944	6584	383
945	6590	376
946	6595	369
947	6600	362
948	6605	354
949	6610	347
950	6615	340
951	6619	333
952	6623	326
953	6628	319
954	6636	312
955	6641	305
956	6646	298
957	6651	291
958	6656	284
959	6660	277
960	6666	270
961	6671	263
962	6675	256
963	6681	249
964	6686	242
965	6691	235
966	6696	228
967	6702	221
968	6707	214
969	6713	207
970	6718	200
971	6724	193
972	6734	186
973	6741	179
974	6748	173
975	6755	166
976	6763	159
977	6770	152
978	6777	145
979	6787	138
980	6793	131
981	6799	124
982	6803	117
983	6808	110
984	6814	103
985	6818	96
986	6822	89
987	6828	82
988	6833	76
989	6841	69
990	6847	62
991	6854	55
992	6864	48
993	6870	41
994	6877	34
995	6888	27
996	6896	20
997	6904	13
998	6911	6
999	6919	0
